abv,name,votes
AK,Alaska,3
AL,Alabama,9
AR,Arkansas,6
AZ,Arizona,11
CA,California,55
CO,Colorado,9
CT,Connecticut,7
DC,District of Columbia,3
DE,Delaware,3
FL,Florida,29
GA,Georgia,16
HI,Hawaii,4
IA,Iowa,6
ID,Idaho,4
IL,Illinois,20
IN,Indiana,11
KS,Kansas,6
KY,Kentucky,8
LA,Louisiana,8
MA,Massachusetts,11
MD,Maryland,10
ME,Maine,4
MI,Michigan,16
MN,Minnesota,10
MO,Missouri,10
MS,Mississippi,6
MT,Montana,3
NC,North Carolina,15
ND,North Dakota,3
NE,Nebraska,5
NH,New Hampshire,4
NJ,New Jersey,14
NM,New Mexico,5
NV,Nevada,6
NY,New York,29
OH,Ohio,18
OK,Oklahoma,7
OR,Oregon,7
PA,Pennsylvania,20
RI,Rhode Island,4
SC,South Carolina,9
SD,South Dakota,3
TN,Tennessee,11
TX,Texas,38
UT,Utah,6
VA,Virginia,13
VT,Vermont,3
WA,Washington,12
WI,Wisconsin,10
WV,West Virginia,5
WY,Wyoming,3