slug	rank	date	genre	artist	album	spotify	year
Woods - Songs of Shame	50	April 14, 2009	Lo-Fi	Woods	Songs of Shame	3rzVaWFBzvC7Yg6KSC7cVx	2009
Cass McCombs - Catacombs	49	June 2, 2009	Folk	Cass McCombs	Catacombs	2khhyKTcinEqcjIKetZD6X	2009
DOOM - Born Like This	48	March 24, 2009	Hip Hop	DOOM	Born Like This	3uIl85UIv3OaNRYbz7mrnd	2009
Zomby - Where Were U in 92?	47	December 9, 2008	Dubstep	Zomby	Where Were U in 92?	5duVh1qXfn9Sb0R7y6eo7r	2009
Dan Deacon - Bromst	46	March 24, 2009	Indietronica	Dan Deacon	Bromst	6SsP7QnagGoYqMRsxryQu5	2009
The Mountain Goats - The Life of the World to Come	45	October 6, 2009	Indie Rock	The Mountain Goats	The Life of the World to Come	7myOX1aVACQg3tnm62U6SI	2009
tUnE-yArDs - BiRd-BrAiNs	44	March 19, 2009	Freak Folk	tUnE-yArDs	BiRd-BrAiNs	1EwM5spoTKiTz25if5DEER	2009
Cymbals Eat Guitars - Why There Are Mountains	43	January 20, 2009	Indie Rock	Cymbals Eat Guitars	Why There Are Mountains	1BqKOalH2iJdlPL7pBrf8W	2009
A Sunny Day in Glasgow - Ashes Grammar	42	September 15, 2009	Shoegaze	A Sunny Day in Glasgow	Ashes Grammar	6KVEo7d6PJxpJqjuZVfWlh	2009
Baroness - Blue Record	41	October 13, 2009	Sludge Metal	Baroness	Blue Record	489qYkpzu44u4I6W9Ldtsx	2009
Mos Def - The Ecstatic	40	June 9, 2009	Hip Hop	Mos Def	The Ecstatic	5Oa2WgO3Jfuw2IKYrZNzTi	2009
Jim O'Rourke - The Visitor	39	September 8, 2009	Experimental	Jim O'Rourke	The Visitor		2009
Major Lazer - Guns Don't Kill People...Lazers Do	38	June 16, 2009	Dancehall	Major Lazer	Guns Don't Kill People...Lazers Do	51mR8ZUahC3H8V6j9Guq65	2009
The Antlers - Hospice	37	March 3, 2009	Indie Rock	The Antlers	Hospice	6fFp2F91noBeodV88bRwTD	2009
Dinosaur Jr. - Farm	36	June 23, 2009	Alternative Rock	Dinosaur Jr.	Farm	6IJJRVh2DWLxyZwVCi3ImK	2009
JJ - jj n° 2	35	July 1, 2009	Electronic	JJ	jj n° 2	0J0rFQDKn8v8EfAoRJ9Ojs	2009
Passion Pit - Manners	34	May 19, 2009	Electronic	Passion Pit	Manners	6H51jH1SuzV6ca1VxW2Tmv	2009
Bibio - Ambivalence Avenue	33	June 23, 2009	Experimental	Bibio	Ambivalence Avenue	7ybrct8gCd1mWsHS32ID8w	2009
Bear in Heaven - Beast Rest Forth Mouth	32	October 20, 2009	Experimental Rock	Bear in Heaven	Beast Rest Forth Mouth	4I84eFKsYX024qD05okY1x	2009
Sunn O))) - Monoliths and Dimensions	31	May 26, 2009	Drone Metal	Sunn O)))	Monoliths and Dimensions		2009
Röyksopp - Junior	30	March 23, 2009	Electronic	Röyksopp	Junior	6vQMbwthchxuSioACn2hcE	2009
Yo La Tengo - Popular Songs	29	September 8, 2009	Indie Rock	Yo La Tengo	Popular Songs	5Vi8AMs747kpnUAJRrGx0p	2009
Micachu and the Shapes - Jewellery	28	March 9, 2009	Experimental	Micachu and the Shapes	Jewellery	06brN4S472isNabA18BfJn	2009
Various Artists - 5: Five Years of Hyperdub	27	October 27, 2009	Dubstep	Various Artists	5: Five Years of Hyperdub	6a6PyGv5ZB1kR8QPV5aLHy	2009
Bon Iver - Blood Bank EP	26	January 20, 2009	Indie Folk	Bon Iver	Blood Bank EP	4LJ5oHS5UGQCC3p7NqYxuB	2009
DJ Quik & Kurupt - Blaqkout	25	June 9, 2009	Hip Hop	DJ Quik & Kurupt	Blaqkout	1fCu4LGOOCv1PvSdsoamLW	2009
Bill Callahan - Sometimes I Wish We Were An Eagle	24	April 14, 2009	Folk	Bill Callahan	Sometimes I Wish We Were An Eagle	2jalkvKIskN3GecqZAuqam	2009
Memory Tapes - Seek Magic	23	August 25, 2009	Electronic	Memory Tapes	Seek Magic	6ZchCmgi5vVSOBc1asPQKB	2009
Wild Beasts - Two Dancers	22	September 8, 2009	Indie Rock	Wild Beasts	Two Dancers	6Eoj1zHUY3VYUocKZVCawO	2009
Neko Case - Middle Cyclone	21	March 3, 2009	Alt-Country	Neko Case	Middle Cyclone	3XwQUKck8AiuLlOVubM5J5	2009
Real Estate - Real Estate	20	November 17, 2009	Lo-Fi	Real Estate	Real Estate	43uj7422MLR9MRBXSki0El	2009
The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	19	February 3, 2009	Indie Pop	The Pains of Being Pure at Heart	The Pains of Being Pure at Heart	5uWuwlHON5texRWxdgtiS2	2009
Atlas Sound - Logos	18	October 20, 2009	Psychedelic Pop	Atlas Sound	Logos	6hQrWdihAPfww18lmdCKFl	2009
The Very Best - Warm Heart of Africa	17	October 6, 2009	Electronic	The Very Best	Warm Heart of Africa	6DQo1w3d4F8MXLK1585Dc7	2009
Antony and the Johnsons - The Crying Light	16	January 20, 2009	Chamber Pop	Antony and the Johnsons	The Crying Light	1pC69gZrIpeghDk2pkXbn8	2009
Japandroids - Post-Nothing	15	April 28, 2009	Garage Rock	Japandroids	Post-Nothing	3pukt8UD5RDPxUEdiOB7O2	2009
Neon Indian - Psychic Chasms	14	October 13, 2009	Chillwave	Neon Indian	Psychic Chasms	01QiJw4cwNbb5yHl265uhS	2009
St. Vincent - Actor	13	May 5, 2009	Indie Pop	St. Vincent	Actor	6RdfrSuuoZBUcvVHlWW2Wd	2009
Yeah Yeah Yeahs - It's Blitz!	12	March 31, 2009	Indie Rock	Yeah Yeah Yeahs	It's Blitz!	5HBmdEPIzWtcWwH2JSv7go	2009
Fuck Buttons - Tarot Sport	11	October 20, 2009	Electronic	Fuck Buttons	Tarot Sport	7tilRUU7WANATJdxhMO3p8	2009
Girls - Album	10	September 22, 2009	Indie Pop	Girls	Album	4oo6giAIivkoxt9ZDj4FmY	2009
Fever Ray - Fever Ray	9	January 12, 2009	Electropop	Fever Ray	Fever Ray	17RbukXB7NQN8h59WAy9ql	2009
Phoenix - Wolfgang Amadeus Phoenix	8	May 26, 2009	Indie Pop	Phoenix	Wolfgang Amadeus Phoenix	7bJTscIEKaObZS61RmpviI	2009
Bat For Lashes - Two Suns	7	April 7, 2009	Art Pop	Bat For Lashes	Two Suns	7cj1dERc5yhFBqtxlRYGSe	2009
Grizzly Bear - Veckatimest	6	May 26, 2009	Psychedelic Folk	Grizzly Bear	Veckatimest	6FIFqclBriPCb0SjWDaHIk	2009
Raekwon - Only Built 4 Cuban Linx... Pt. II	5	September 8, 2009	Hip Hop	Raekwon	Only Built 4 Cuban Linx... Pt. II		2009
The Flaming Lips - Embryonic	4	October 13, 2009	Neo-Psychedelia	The Flaming Lips	Embryonic	1QaudSbWNyACrk0JGemI3r	2009
The xx - xx	3	October 6, 2009	Indie Pop	The xx	xx	2rmMeEq5D1Bg7YFRwtHBDr	2009
Dirty Projectors - Bitte Orca	2	June 9, 2009	Indie Pop	Dirty Projectors	Bitte Orca	5370y6sLDhvjsg5eaQpIB4	2009
Animal Collective - Merriweather Post Pavilion	1	January 20, 2009	Psychedelic Pop	Animal Collective	Merriweather Post Pavilion	3Ew40olMfd5X4BvqfuFoqF	2009
Clams Casino - Instrumental	100	March 2, 2011	Electronic	Clams Casino	Instrumental		2010-2014
Jai Paul - Jai Paul	99	April 1, 2013	Alternative R&B	Jai Paul	Jai Paul		2010-2014
Earl Sweatshirt - EARL	98	March 31, 2010	Hip Hop	Earl Sweatshirt	EARL		2010-2014
Rustie - Glass Swords	97	October 11, 2011	Electronic	Rustie	Glass Swords	13kdLV4OxOBbqnGcJqkcKS	2010-2014
Young Thug - 1017 Thug	96	February 23, 2013	Hip Hop	Young Thug	1017 Thug		2010-2014
Nicolas Jaar - Space Is Only Noise	95	January 31, 2011	Microhouse	Nicolas Jaar	Space Is Only Noise	0tUJcqDuXHNkaPKLN0lQhT	2010-2014
How to Dress Well - What Is This Heart?	94	June 24, 2014	Alternative R&B	How to Dress Well	What Is This Heart?	70o7vRADMOz75vzHBla3Z0	2010-2014
Tim Hecker - Ravedeath, 1972	93	February 15, 2011	Drone	Tim Hecker	Ravedeath, 1972	6cbCvUzsawFcG0aZVCJyzt	2010-2014
Bat For Lashes - The Haunted Man	92	October 15, 2012	Art Pop	Bat For Lashes	The Haunted Man	6rg92rv1hTB5fDfm85cWgq	2010-2014
Actress - Splazsh	91	May 28, 2010	Microhouse	Actress	Splazsh	5iMp6bIMnBg0UpouIXUqxX	2010-2014
Waxahatchee - Cerulean Salt	90	March 5, 2013	Singer-Songwriter	Waxahatchee	Cerulean Salt	4OfohS2lFQOeCXsrNcdh5s	2010-2014
Emeralds - Does It Look Like I'm Here?	89	June 8, 2010	Drone	Emeralds	Does It Look Like I'm Here?	0c0XkZh9vWXg473nchoArI	2010-2014
Arcade Fire - Reflektor	88	October 29, 2013	Indie Rock	Arcade Fire	Reflektor	4E0m7AIVc2d2QZMrMNXdMZ	2010-2014
FKA twigs - LP1	87	August 12, 2014	Alternative R&B	FKA twigs	LP1	7mpQVIMZ2iNnAfqodqvdhz	2010-2014
Real Estate - Atlas	86	March 4, 2014	Indie Rock	Real Estate	Atlas	50idJkY6FhqUesGnGHn7wB	2010-2014
Swans - To Be Kind	85	May 13, 2014	Experimental Rock	Swans	To Be Kind	1Nt5SpidxOjgIpTrhrfwAF	2010-2014
A$AP Rocky - Live. Love. A$AP	84	October 31, 2011	Hip Hop	A$AP Rocky	Live. Love. A$AP		2010-2014
Tame Impala - Innerspeaker	83	May 25, 2010	Psychedelic Rock	Tame Impala	Innerspeaker	51jAc3sHdN2YG1X5AZg6Ow	2010-2014
Chief Keef - Finally Rich	82	December 18, 2012	Hip Hop	Chief Keef	Finally Rich	108j4R9oEcFUaVRzE8RZKI	2010-2014
Ariel Pink's Haunted Graffiti - Mature Themes	81	August 21, 2012	Psychedelic Pop	Ariel Pink's Haunted Graffiti	Mature Themes	2TIa83EYZBDWfmEj6VVoWu	2010-2014
Mac DeMarco - 2	80	October 16, 2012	Singer-Songwriter	Mac DeMarco	2	7mQ1elwuFdy0LBjAxv4spP	2010-2014
Big Boi - Sir Lucious Left Foot: The Son of Chico Dusty	79	July 6, 2010	Hip Hop	Big Boi	Sir Lucious Left Foot: The Son of Chico Dusty	0GZMsKdDsbNhxvM1VaxB0U	2010-2014
Darkside - Psychic	78	October 8, 2013	Art Pop	Darkside	Psychic	7jqNrm1l4wSxNYSjgK7tmF	2010-2014
Kendrick Lamar - Section.80	77	July 2, 2011	Hip Hop	Kendrick Lamar	Section.80	13WjgUEEAQp0d9JqojlWp1	2010-2014
Jessie Ware - Devotion	76	August 20, 2012	Soul	Jessie Ware	Devotion	467ptCjichGtFduanf3jMX	2010-2014
The Caretaker - An Empty Bliss Beyond This World	75	June 21, 2011	Ambient	The Caretaker	An Empty Bliss Beyond This World		2010-2014
Caribou - Swim	74	April 20, 2010	Electronic	Caribou	Swim	74vgQmQX8dVxpw9zcPEFxE	2010-2014
Cloud Nothings - Attack on Memory	73	January 24, 2012	Indie Rock	Cloud Nothings	Attack on Memory	1JgpvdsSfE94eZzYBk6ph9	2010-2014
Danny Brown - OLD	72	October 8, 2013	Hip Hop	Danny Brown	OLD	5SC0415RIGVX9ZfL0tfbAl	2010-2014
Girls - Father, Son, Holy Ghost	71	September 13, 2011	Indie Pop	Girls	Father, Son, Holy Ghost	66wRO7SK0Wo1KS40en2tua	2010-2014
Killer Mike - R.A.P. Music	70	May 15, 2012	Hip Hop	Killer Mike	R.A.P. Music	5EAhUoAz1G3WTvIfGZvmrh	2010-2014
Blood Orange - Cupid Deluxe	69	November 18, 2013	R&B	Blood Orange	Cupid Deluxe	5Pn6Nexd7zbCMkdVGeml0m	2010-2014
Erykah Badu - New Amerykah Part Two: Return of the Ankh	68	March 30, 2010	Neo-Soul	Erykah Badu	New Amerykah Part Two: Return of the Ankh	1MOub955Uer957RVqqkF2a	2010-2014
The Weeknd - House of Balloons	67	March 21, 2011	R&B	The Weeknd	House of Balloons		2010-2014
Todd Terje - It's Album Time	66	April 8, 2014	Nu-Disco	Todd Terje	It's Album Time	4pefQ21iSk8hdnxw3WSB5Y	2010-2014
Crystal Castles - Crystal Castles	65	May 25, 2010	Electronic	Crystal Castles	Crystal Castles	75olNPlDKi2XQhTD9IPlVC	2010-2014
HAIM - Days Are Gone	64	September 30, 2013	Indie Rock	HAIM	Days Are Gone	0eXAgjcMHbFt3fS0XXp8Kw	2010-2014
Four Tet - There Is Love in You	63	January 26, 2010	Electronic	Four Tet	There Is Love in You	6x2gG7Pw1g54ZjQWjiAVCK	2010-2014
The Knife - Shaking the Habitual	62	April 8, 2013	Electronic	The Knife	Shaking the Habitual	7eDaaP6J8Q3cYVTGRmARwx	2010-2014
Dirty Projectors - Swing Lo Magellan	61	July 10, 2012	Art Pop	Dirty Projectors	Swing Lo Magellan	1WhF5ZiI5V5laq2nGLoF99	2010-2014
PJ Harvey - Let England Shake	60	February 15, 2011	Alternative Rock	PJ Harvey	Let England Shake	7f1aXd7Gd5H9IqFu36zw6m	2010-2014
Miguel - Kaleidoscope Dream	59	October 2, 2012	R&B	Miguel	Kaleidoscope Dream	6vgPmXpCwKpPjV6fLynFtH	2010-2014
The-Dream - Love King	58	June 29, 2010	R&B	The-Dream	Love King	08912w1sEZbVmc4XZr40JE	2010-2014
tUnE-yArDs - w h o k i l l	57	April 19, 2011	Art Pop	tUnE-yArDs	w h o k i l l	7rBLvpL7ZWi1YCSXSLUZKF	2010-2014
Chance The Rapper - Acid Rap	56	April 30, 2013	Hip Hop	Chance The Rapper	Acid Rap	2VBcztE58pBKjIDS5oEgFh	2010-2014
Andy Stott - Luxury Problems	55	October 29, 2012	Dub Techno	Andy Stott	Luxury Problems	6XpD4GhQq4olgxxgX6BXdv	2010-2014
Frank Ocean - Nostalgia, Ultra.	54	February 18, 2011	R&B	Frank Ocean	Nostalgia, Ultra.		2010-2014
Beach House - Bloom	53	May 15, 2012	Dream Pop	Beach House	Bloom	68pikiNcGlWj3XFirs5O2R	2010-2014
James Blake - James Blake	52	February 8, 2011	Art Pop	James Blake	James Blake	0qY6lBQSi8IMJjHYDPdAqX	2010-2014
Sky Ferreira - Night Time, My Time	51	October 29, 2013	Synthpop	Sky Ferreira	Night Time, My Time	1bvCVYPVl445mO690M2dOr	2010-2014
Ratking - So It Goes	200	April 8, 2014	Hip Hop	Ratking	So It Goes	2ScS2EpJi2qDVFAQ2DFBq0	2010-2019
WU LYF - Go Tell Fire to the Mountain	199	June 21, 2011	Lo-Fi	WU LYF	Go Tell Fire to the Mountain	6WSEHis4NH2JfCimtDhClj	2010-2019
Jean Grae & Quelle Chris - Everything's Fine	198	March 30, 2018	Hip Hop	Jean Grae & Quelle Chris	Everything's Fine	22oHrB4SLwayyuLE02t5BD	2010-2019
Fatima Al Qadiri - Genre-Specific Xperience	197	November 18, 2011		Fatima Al Qadiri	Genre-Specific Xperience	15MfIAm3A7U0W1myJaXye2	2010-2019
Portal - Vexovoid	196	February 19, 2013	Death Metal	Portal	Vexovoid		2010-2019
Downtown Boys - Full Communism	195	May 4, 2015	Hardcore Punk	Downtown Boys	Full Communism	2uOinTd9KHYUdQR5r3sDKv	2010-2019
Titus Andronicus - The Monitor	194	March 9, 2010	Indie Rock	Titus Andronicus	The Monitor	5U09FQWagzAU5HPmufUAlU	2010-2019
Lil Peep - HellBoy	193	September 25, 2016	Hip Hop	Lil Peep	HellBoy		2010-2019
Kelela - Cut 4 Me	192	October 1, 2013	R&B	Kelela	Cut 4 Me	0pnKj3DOUFmo0bpQVkyE3Z	2010-2019
Kate Bush - 50 Words for Snow	191	November 21, 2011	Art Pop	Kate Bush	50 Words for Snow	1VAB3Xn92dPKPWzocgQqkh	2010-2019
Huerco S. - For Those Of You Who Have Never (And Also Those Who Have)	190	June 10, 2016	Ambient	Huerco S.	For Those Of You Who Have Never (And Also Those Who Have)	1MATu35vnVRNkhxFH3hMxP	2010-2019
Miranda Lambert - The Weight of These Wings	189	November 18, 2016	Country	Miranda Lambert	The Weight of These Wings	563h536tB6n8Dn62jr4RZG	2010-2019
Pusha T - Daytona	188	May 25, 2018	Hip Hop	Pusha T	Daytona	07bIdDDe3I3hhWpxU6tuBp	2010-2019
Iceage - Beyondless	187	May 4, 2018	Post-Punk	Iceage	Beyondless	5H8wFFblf7YvGc7LbBzuR9	2010-2019
Various Artists - Mono No Aware	186	March 17, 2017	Ambient	Various Artists	Mono No Aware	29oEVx1KwMEjdK0bsT2IZu	2010-2019
Hailu Mergia - Lala Belu	185	February 16, 2018	Jazz	Hailu Mergia	Lala Belu	5daH3Ogui4BqvMrMLaEJ2Q	2010-2019
Soccer Mommy - Clean	184	March 2, 2018	Indie Pop	Soccer Mommy	Clean	36NLDBi2kX7XRHnyLzLOS8	2010-2019
Elysia Crampton - American Drift	183	August 7, 2015	Electronic	Elysia Crampton	American Drift	6pArfwsBoFXoIcjNdmmfjN	2010-2019
G.L.O.S.S. - Trans Day of Revenge	182	June 13, 2016	Hardcore Punk	G.L.O.S.S.	Trans Day of Revenge		2010-2019
Jamila Woods - LEGACY! LEGACY!	181	May 10, 2019	Alternative R&B	Jamila Woods	LEGACY! LEGACY!	5NzK7S7oQQnO8eLRf7kDJx	2010-2019
CHVRCHES - The Bones of What You Believe	180	September 24, 2013	Synthpop	CHVRCHES	The Bones of What You Believe	1l9bp6Fz4xkN673dWN5cpy	2010-2019
Shabazz Palaces - Black Up	179	June 28, 2011	Hip Hop	Shabazz Palaces	Black Up	6xmJwIZr8GXrSTiYa9UYXG	2010-2019
Savages - Silence Yourself	178	May 6, 2013	Post-Punk	Savages	Silence Yourself	0aMC5DDAF86GvYNPaivEKd	2010-2019
Margo Price - All American Made	177	October 20, 2017	Country	Margo Price	All American Made	2ZxlcZ2NMgupfqGcyjnmkE	2010-2019
Gil Scott-Heron - I'm New Here	176	February 9, 2010	Soul	Gil Scott-Heron	I'm New Here	60JXrFsIxXP6rqd4jdTfrn	2010-2019
Jessie Ware - Devotion	175	August 20, 2012	Soul	Jessie Ware	Devotion	467ptCjichGtFduanf3jMX	2010-2019
Sharon Van Etten - Are We There	174	May 27, 2014	Singer-Songwriter	Sharon Van Etten	Are We There	69EhwEgjEWQ8GqH7wqEndn	2010-2019
Hurray For The Riff Raff - Small Town Heroes	173	February 11, 2014	Singer-Songwriter	Hurray For The Riff Raff	Small Town Heroes	1POMK00nh13k92KaCIVljU	2010-2019
Popcaan - Where We Come From	172	June 10, 2014	Dancehall	Popcaan	Where We Come From	3KxV4BKuBa5MuoETwALcUc	2010-2019
JPEGMAFIA - Veteran	171	January 19, 2018	Experimental Hip Hop	JPEGMAFIA	Veteran	22LKdgY3vLsAsWrOafwCM3	2010-2019
Skee Mask - Compro	170	May 15, 2018	Ambient Techno	Skee Mask	Compro	3yXIkSJWpudtgF0TZuB16U	2010-2019
Paramore - After Laughter	169	May 12, 2017	New Wave	Paramore	After Laughter	1c9Sx7XdXuMptGyfCB6hHs	2010-2019
Julianna Barwick - The Magic Place	168	February 22, 2011	Ambient Pop	Julianna Barwick	The Magic Place	3URSIUAf32gpsqPhp1ItuT	2010-2019
(Sandy) Alex G - DSU	167	June 17, 2014	Lo-Fi	(Sandy) Alex G	DSU	0zYUOExhLNlitUAdgIjHtT	2010-2019
Nicki Minaj - The Pinkprint	166	December 15, 2014	Hip Hop	Nicki Minaj	The Pinkprint	39WwaUn8HTVZpJJmAuIIHN	2010-2019
Jay Som - Everybody Works	165	March 10, 2017	Indie Rock	Jay Som	Everybody Works	1ZMtgC7o6TGbzwkv5SpThU	2010-2019
Hop Along - Painted Shut	164	May 5, 2015	Indie Rock	Hop Along	Painted Shut	16fimHkQtXptYBytXfHfUs	2010-2019
Meek Mill - Dreamchasers 2	163	May 7, 2012	Hip Hop	Meek Mill	Dreamchasers 2		2010-2019
Sturgill Simpson - Metamodern Sounds in Country Music	162	May 13, 2014	Country	Sturgill Simpson	Metamodern Sounds in Country Music	19lODR6Yv1mfvvcTkrFAn2	2010-2019
The 1975 - I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It	161	February 26, 2016	Synthpop	The 1975	I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It	1JFmNyVPdBF1ECvv4fhpW4	2010-2019
Noname - Room 25	160	September 14, 2018	Hip Hop	Noname	Room 25	7oHM3Sj0l2nXAzGAxW0KOt	2010-2019
Pallbearer - Foundations of Burden	159	August 19, 2014	Doom Metal	Pallbearer	Foundations of Burden	5hcHyM3KYY97gUZzfRlNZb	2010-2019
Sleigh Bells - Treats	158	May 11, 2010	Noise Pop	Sleigh Bells	Treats	7l5Y3f2amyv1acMfZZQfa2	2010-2019
The 1975 - A Brief Inquiry Into Online Relationships	157	November 30, 2018	Art Pop	The 1975	A Brief Inquiry Into Online Relationships	6PWXKiakqhI17mTYM4y6oY	2010-2019
Jenny Lewis - The Voyager	156	July 29, 2014	Pop Rock	Jenny Lewis	The Voyager	5sCsfubNchaI9RCpP7K7aB	2010-2019
21 Savage & Metro Boomin - Savage Mode	155	July 14, 2016	Hip Hop	21 Savage & Metro Boomin	Savage Mode	4I3EcXD4e3KcEoDJfFEZ5b	2010-2019
Mica Levi - Under the Skin	154	March 17, 2014	Drone	Mica Levi	Under the Skin		2010-2019
Purple Mountains - Purple Mountains	153	July 12, 2019	Indie Rock	Purple Mountains	Purple Mountains	5NCdiiTgky5PbjmCtcgwtn	2010-2019
Arctic Monkeys - AM	152	September 9, 2013	Indie Rock	Arctic Monkeys	AM	5bU1XKYxHhEwukllT20xtk	2010-2019
Lady Gaga - The Fame Monster	151	November 23, 2009	Pop	Lady Gaga	The Fame Monster	67j3NJodNRI8USUwKwTZA6	2010-2019
Wavves - King of the Beach	50	August 3, 2010	Indie Rock	Wavves	King of the Beach	0EYSLCjAJiGtGfPuENfQYc	2010
Wild Nothing - Gemini	49	May 25, 2010	Dream Pop	Wild Nothing	Gemini	3oPuSNDpKa84WJLWstHomV	2010
Forest Swords - Dagger Paths	48	March 1, 2010	Neo-Psychedelia	Forest Swords	Dagger Paths	5lAR8NUtW605yBZae8MS0J	2010
Women - Public Strain	47	September 28, 2010	Post-Punk	Women	Public Strain	4bOm9cju3kHhqoE5ZjGurt	2010
Matthew Dear - Black City	46	August 17, 2010	Electronic	Matthew Dear	Black City	6GhqAQ0NYXwrG4JIidzBso	2010
Gil Scott-Heron - I'm New Here	45	February 9, 2010	Soul	Gil Scott-Heron	I'm New Here	60JXrFsIxXP6rqd4jdTfrn	2010
Kylesa - Spiral Shadow	44	October 26, 2010	Sludge Metal	Kylesa	Spiral Shadow	5CP0zFLnRi8SAxb1NxuB6b	2010
