rank	date	genre	slug	artist	album	spotify	year
50	April 14, 2009	Lo-Fi	Woods - Songs of Shame	Woods	Songs of Shame	3rzVaWFBzvC7Yg6KSC7cVx	2009
49	June 2, 2009	Folk	Cass McCombs - Catacombs	Cass McCombs	Catacombs	2khhyKTcinEqcjIKetZD6X	2009
48	March 24, 2009	Hip Hop	DOOM - Born Like This	DOOM	Born Like This	3uIl85UIv3OaNRYbz7mrnd	2009
47	December 9, 2008	Dubstep	Zomby - Where Were U in 92?	Zomby	Where Were U in 92?	5duVh1qXfn9Sb0R7y6eo7r	2009
46	March 24, 2009	Indietronica	Dan Deacon - Bromst	Dan Deacon	Bromst	6SsP7QnagGoYqMRsxryQu5	2009
45	October 6, 2009	Indie Rock	The Mountain Goats - The Life of the World to Come	The Mountain Goats	The Life of the World to Come	7myOX1aVACQg3tnm62U6SI	2009
44	March 19, 2009	Freak Folk	tUnE-yArDs - BiRd-BrAiNs	tUnE-yArDs	BiRd-BrAiNs	1EwM5spoTKiTz25if5DEER	2009
43	January 20, 2009	Indie Rock	Cymbals Eat Guitars - Why There Are Mountains	Cymbals Eat Guitars	Why There Are Mountains	1BqKOalH2iJdlPL7pBrf8W	2009
42	September 15, 2009	Shoegaze	A Sunny Day in Glasgow - Ashes Grammar	A Sunny Day in Glasgow	Ashes Grammar	6KVEo7d6PJxpJqjuZVfWlh	2009
41	October 13, 2009	Sludge Metal	Baroness - Blue Record	Baroness	Blue Record	489qYkpzu44u4I6W9Ldtsx	2009
40	June 9, 2009	Hip Hop	Mos Def - The Ecstatic	Mos Def	The Ecstatic	5Oa2WgO3Jfuw2IKYrZNzTi	2009
39	September 8, 2009	Experimental	Jim O'Rourke - The Visitor	Jim O'Rourke	The Visitor		2009
38	June 16, 2009	Dancehall	Major Lazer - Guns Don't Kill People...Lazers Do	Major Lazer	Guns Don't Kill People...Lazers Do	51mR8ZUahC3H8V6j9Guq65	2009
37	March 3, 2009	Indie Rock	The Antlers - Hospice	The Antlers	Hospice	6fFp2F91noBeodV88bRwTD	2009
36	June 23, 2009	Alternative Rock	Dinosaur Jr. - Farm	Dinosaur Jr.	Farm	6IJJRVh2DWLxyZwVCi3ImK	2009
35	July 1, 2009	Electronic	JJ - jj n° 2	JJ	jj n° 2	0J0rFQDKn8v8EfAoRJ9Ojs	2009
34	May 19, 2009	Electronic	Passion Pit - Manners	Passion Pit	Manners	6H51jH1SuzV6ca1VxW2Tmv	2009
33	June 23, 2009	Experimental	Bibio - Ambivalence Avenue	Bibio	Ambivalence Avenue	7ybrct8gCd1mWsHS32ID8w	2009
32	October 20, 2009	Experimental Rock	Bear in Heaven - Beast Rest Forth Mouth	Bear in Heaven	Beast Rest Forth Mouth	4I84eFKsYX024qD05okY1x	2009
31	May 26, 2009	Drone Metal	Sunn O))) - Monoliths and Dimensions	Sunn O)))	Monoliths and Dimensions		2009
30	March 23, 2009	Electronic	Röyksopp - Junior	Röyksopp	Junior	6vQMbwthchxuSioACn2hcE	2009
29	September 8, 2009	Indie Rock	Yo La Tengo - Popular Songs	Yo La Tengo	Popular Songs	5Vi8AMs747kpnUAJRrGx0p	2009
28	March 9, 2009	Experimental	Micachu and the Shapes - Jewellery	Micachu and the Shapes	Jewellery	06brN4S472isNabA18BfJn	2009
27	October 27, 2009	Dubstep	Various Artists - 5: Five Years of Hyperdub	Various Artists	5: Five Years of Hyperdub	6a6PyGv5ZB1kR8QPV5aLHy	2009
26	January 20, 2009	Indie Folk	Bon Iver - Blood Bank EP	Bon Iver	Blood Bank EP	4LJ5oHS5UGQCC3p7NqYxuB	2009
25	June 9, 2009	Hip Hop	DJ Quik & Kurupt - Blaqkout	DJ Quik & Kurupt	Blaqkout	1fCu4LGOOCv1PvSdsoamLW	2009
24	April 14, 2009	Folk	Bill Callahan - Sometimes I Wish We Were An Eagle	Bill Callahan	Sometimes I Wish We Were An Eagle	2jalkvKIskN3GecqZAuqam	2009
23	August 25, 2009	Electronic	Memory Tapes - Seek Magic	Memory Tapes	Seek Magic	6ZchCmgi5vVSOBc1asPQKB	2009
22	September 8, 2009	Indie Rock	Wild Beasts - Two Dancers	Wild Beasts	Two Dancers	6Eoj1zHUY3VYUocKZVCawO	2009
21	March 3, 2009	Alt-Country	Neko Case - Middle Cyclone	Neko Case	Middle Cyclone	3XwQUKck8AiuLlOVubM5J5	2009
20	November 17, 2009	Lo-Fi	Real Estate - Real Estate	Real Estate	Real Estate	43uj7422MLR9MRBXSki0El	2009
19	February 3, 2009	Indie Pop	The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	The Pains of Being Pure at Heart	The Pains of Being Pure at Heart	5uWuwlHON5texRWxdgtiS2	2009
18	October 20, 2009	Psychedelic Pop	Atlas Sound - Logos	Atlas Sound	Logos	6hQrWdihAPfww18lmdCKFl	2009
17	October 6, 2009	Electronic	The Very Best - Warm Heart of Africa	The Very Best	Warm Heart of Africa	6DQo1w3d4F8MXLK1585Dc7	2009
16	January 20, 2009	Chamber Pop	Antony and the Johnsons - The Crying Light	Antony and the Johnsons	The Crying Light	1pC69gZrIpeghDk2pkXbn8	2009
15	April 28, 2009	Garage Rock	Japandroids - Post-Nothing	Japandroids	Post-Nothing	3pukt8UD5RDPxUEdiOB7O2	2009
14	October 13, 2009	Chillwave	Neon Indian - Psychic Chasms	Neon Indian	Psychic Chasms	01QiJw4cwNbb5yHl265uhS	2009
13	May 5, 2009	Indie Pop	St. Vincent - Actor	St. Vincent	Actor	6RdfrSuuoZBUcvVHlWW2Wd	2009
12	March 31, 2009	Indie Rock	Yeah Yeah Yeahs - It's Blitz!	Yeah Yeah Yeahs	It's Blitz!	5HBmdEPIzWtcWwH2JSv7go	2009
11	October 20, 2009	Electronic	Fuck Buttons - Tarot Sport	Fuck Buttons	Tarot Sport	7tilRUU7WANATJdxhMO3p8	2009
10	September 22, 2009	Indie Pop	Girls - Album	Girls	Album	4oo6giAIivkoxt9ZDj4FmY	2009
9	January 12, 2009	Electropop	Fever Ray - Fever Ray	Fever Ray	Fever Ray	17RbukXB7NQN8h59WAy9ql	2009
8	May 26, 2009	Indie Pop	Phoenix - Wolfgang Amadeus Phoenix	Phoenix	Wolfgang Amadeus Phoenix	7bJTscIEKaObZS61RmpviI	2009
7	April 7, 2009	Art Pop	Bat For Lashes - Two Suns	Bat For Lashes	Two Suns	7cj1dERc5yhFBqtxlRYGSe	2009
6	May 26, 2009	Psychedelic Folk	Grizzly Bear - Veckatimest	Grizzly Bear	Veckatimest	6FIFqclBriPCb0SjWDaHIk	2009
5	September 8, 2009	Hip Hop	Raekwon - Only Built 4 Cuban Linx... Pt. II	Raekwon	Only Built 4 Cuban Linx... Pt. II		2009
4	October 13, 2009	Neo-Psychedelia	The Flaming Lips - Embryonic	The Flaming Lips	Embryonic	1QaudSbWNyACrk0JGemI3r	2009
3	October 6, 2009	Indie Pop	The xx - xx	The xx	xx	2rmMeEq5D1Bg7YFRwtHBDr	2009
2	June 9, 2009	Indie Pop	Dirty Projectors - Bitte Orca	Dirty Projectors	Bitte Orca	5370y6sLDhvjsg5eaQpIB4	2009
1	January 20, 2009	Psychedelic Pop	Animal Collective - Merriweather Post Pavilion	Animal Collective	Merriweather Post Pavilion	3Ew40olMfd5X4BvqfuFoqF	2009
100	March 2, 2011	Electronic	Clams Casino - Instrumental	Clams Casino	Instrumental		2010-2014
99	April 1, 2013	Alternative R&B	Jai Paul - Jai Paul	Jai Paul	Jai Paul		2010-2014
98	March 31, 2010	Hip Hop	Earl Sweatshirt - EARL	Earl Sweatshirt	EARL		2010-2014
97	October 11, 2011	Electronic	Rustie - Glass Swords	Rustie	Glass Swords	13kdLV4OxOBbqnGcJqkcKS	2010-2014
96	February 23, 2013	Hip Hop	Young Thug - 1017 Thug	Young Thug	1017 Thug		2010-2014
95	January 31, 2011	Microhouse	Nicolas Jaar - Space Is Only Noise	Nicolas Jaar	Space Is Only Noise	0tUJcqDuXHNkaPKLN0lQhT	2010-2014
94	June 24, 2014	Alternative R&B	How to Dress Well - What Is This Heart?	How to Dress Well	What Is This Heart?	70o7vRADMOz75vzHBla3Z0	2010-2014
93	February 15, 2011	Drone	Tim Hecker - Ravedeath, 1972	Tim Hecker	Ravedeath, 1972	6cbCvUzsawFcG0aZVCJyzt	2010-2014
92	October 15, 2012	Art Pop	Bat For Lashes - The Haunted Man	Bat For Lashes	The Haunted Man	6rg92rv1hTB5fDfm85cWgq	2010-2014
91	May 28, 2010	Microhouse	Actress - Splazsh	Actress	Splazsh	5iMp6bIMnBg0UpouIXUqxX	2010-2014
90	March 5, 2013	Singer-Songwriter	Waxahatchee - Cerulean Salt	Waxahatchee	Cerulean Salt	4OfohS2lFQOeCXsrNcdh5s	2010-2014
89	June 8, 2010	Drone	Emeralds - Does It Look Like I'm Here?	Emeralds	Does It Look Like I'm Here?	0c0XkZh9vWXg473nchoArI	2010-2014
88	October 29, 2013	Indie Rock	Arcade Fire - Reflektor	Arcade Fire	Reflektor	4E0m7AIVc2d2QZMrMNXdMZ	2010-2014
87	August 12, 2014	Alternative R&B	FKA twigs - LP1	FKA twigs	LP1	7mpQVIMZ2iNnAfqodqvdhz	2010-2014
86	March 4, 2014	Indie Rock	Real Estate - Atlas	Real Estate	Atlas	50idJkY6FhqUesGnGHn7wB	2010-2014
85	May 13, 2014	Experimental Rock	Swans - To Be Kind	Swans	To Be Kind	1Nt5SpidxOjgIpTrhrfwAF	2010-2014
84	October 31, 2011	Hip Hop	A$AP Rocky - Live. Love. A$AP	A$AP Rocky	Live. Love. A$AP		2010-2014
83	May 25, 2010	Psychedelic Rock	Tame Impala - Innerspeaker	Tame Impala	Innerspeaker	51jAc3sHdN2YG1X5AZg6Ow	2010-2014
82	December 18, 2012	Hip Hop	Chief Keef - Finally Rich	Chief Keef	Finally Rich	108j4R9oEcFUaVRzE8RZKI	2010-2014
81	August 21, 2012	Psychedelic Pop	Ariel Pink's Haunted Graffiti - Mature Themes	Ariel Pink's Haunted Graffiti	Mature Themes	2TIa83EYZBDWfmEj6VVoWu	2010-2014
80	October 16, 2012	Singer-Songwriter	Mac DeMarco - 2	Mac DeMarco	2	7mQ1elwuFdy0LBjAxv4spP	2010-2014
79	July 6, 2010	Hip Hop	Big Boi - Sir Lucious Left Foot: The Son of Chico Dusty	Big Boi	Sir Lucious Left Foot: The Son of Chico Dusty	0GZMsKdDsbNhxvM1VaxB0U	2010-2014
78	October 8, 2013	Art Pop	Darkside - Psychic	Darkside	Psychic	7jqNrm1l4wSxNYSjgK7tmF	2010-2014
77	July 2, 2011	Hip Hop	Kendrick Lamar - Section.80	Kendrick Lamar	Section.80	13WjgUEEAQp0d9JqojlWp1	2010-2014
76	August 20, 2012	Soul	Jessie Ware - Devotion	Jessie Ware	Devotion	467ptCjichGtFduanf3jMX	2010-2014
75	June 21, 2011	Ambient	The Caretaker - An Empty Bliss Beyond This World	The Caretaker	An Empty Bliss Beyond This World		2010-2014
74	April 20, 2010	Electronic	Caribou - Swim	Caribou	Swim	74vgQmQX8dVxpw9zcPEFxE	2010-2014
73	January 24, 2012	Indie Rock	Cloud Nothings - Attack on Memory	Cloud Nothings	Attack on Memory	1JgpvdsSfE94eZzYBk6ph9	2010-2014
72	October 8, 2013	Hip Hop	Danny Brown - OLD	Danny Brown	OLD	5SC0415RIGVX9ZfL0tfbAl	2010-2014
71	September 13, 2011	Indie Pop	Girls - Father, Son, Holy Ghost	Girls	Father, Son, Holy Ghost	66wRO7SK0Wo1KS40en2tua	2010-2014
70	May 15, 2012	Hip Hop	Killer Mike - R.A.P. Music	Killer Mike	R.A.P. Music	5EAhUoAz1G3WTvIfGZvmrh	2010-2014
69	November 18, 2013	R&B	Blood Orange - Cupid Deluxe	Blood Orange	Cupid Deluxe	5Pn6Nexd7zbCMkdVGeml0m	2010-2014
68	March 30, 2010	Neo-Soul	Erykah Badu - New Amerykah Part Two: Return of the Ankh	Erykah Badu	New Amerykah Part Two: Return of the Ankh	1MOub955Uer957RVqqkF2a	2010-2014
67	March 21, 2011	R&B	The Weeknd - House of Balloons	The Weeknd	House of Balloons		2010-2014
66	April 8, 2014	Nu-Disco	Todd Terje - It's Album Time	Todd Terje	It's Album Time	4pefQ21iSk8hdnxw3WSB5Y	2010-2014
65	May 25, 2010	Electronic	Crystal Castles - Crystal Castles	Crystal Castles	Crystal Castles	75olNPlDKi2XQhTD9IPlVC	2010-2014
64	September 30, 2013	Indie Rock	HAIM - Days Are Gone	HAIM	Days Are Gone	0eXAgjcMHbFt3fS0XXp8Kw	2010-2014
63	January 26, 2010	Electronic	Four Tet - There Is Love in You	Four Tet	There Is Love in You	6x2gG7Pw1g54ZjQWjiAVCK	2010-2014
62	April 8, 2013	Electronic	The Knife - Shaking the Habitual	The Knife	Shaking the Habitual	7eDaaP6J8Q3cYVTGRmARwx	2010-2014
61	July 10, 2012	Art Pop	Dirty Projectors - Swing Lo Magellan	Dirty Projectors	Swing Lo Magellan	1WhF5ZiI5V5laq2nGLoF99	2010-2014
60	February 15, 2011	Alternative Rock	PJ Harvey - Let England Shake	PJ Harvey	Let England Shake	7f1aXd7Gd5H9IqFu36zw6m	2010-2014
59	October 2, 2012	R&B	Miguel - Kaleidoscope Dream	Miguel	Kaleidoscope Dream	6vgPmXpCwKpPjV6fLynFtH	2010-2014
58	June 29, 2010	R&B	The-Dream - Love King	The-Dream	Love King	08912w1sEZbVmc4XZr40JE	2010-2014
57	April 19, 2011	Art Pop	tUnE-yArDs - w h o k i l l	tUnE-yArDs	w h o k i l l	7rBLvpL7ZWi1YCSXSLUZKF	2010-2014
56	April 30, 2013	Hip Hop	Chance The Rapper - Acid Rap	Chance The Rapper	Acid Rap	2VBcztE58pBKjIDS5oEgFh	2010-2014
55	October 29, 2012	Dub Techno	Andy Stott - Luxury Problems	Andy Stott	Luxury Problems	6XpD4GhQq4olgxxgX6BXdv	2010-2014
54	February 18, 2011	R&B	Frank Ocean - Nostalgia, Ultra.	Frank Ocean	Nostalgia, Ultra.		2010-2014
53	May 15, 2012	Dream Pop	Beach House - Bloom	Beach House	Bloom	68pikiNcGlWj3XFirs5O2R	2010-2014
52	February 8, 2011	Art Pop	James Blake - James Blake	James Blake	James Blake	0qY6lBQSi8IMJjHYDPdAqX	2010-2014
51	October 29, 2013	Synthpop	Sky Ferreira - Night Time, My Time	Sky Ferreira	Night Time, My Time	1bvCVYPVl445mO690M2dOr	2010-2014
50	October 16, 2012	Post-Rock	Godspeed You! Black Emperor - 'Allelujah! Don't Bend! Ascend!	Godspeed You! Black Emperor	'Allelujah! Don't Bend! Ascend!	30bTXMxsMsYn7QbwmDW3rj	2010-2014
49	November 8, 2011	Drone	Oneohtrix Point Never - Replica	Oneohtrix Point Never	Replica	6zUTN3bN8rsgdy1lsFXI7L	2010-2014
48	May 21, 2013	Ambient Pop	Majical Cloudz - Impersonator	Majical Cloudz	Impersonator	70EudAo73w9QvcF2u5K18E	2010-2014
47	October 5, 2010	Hip Hop	Waka Flocka Flame - Flockaveli	Waka Flocka Flame	Flockaveli	6MQtWELG7aRX7CkAzQ6nLM	2010-2014
46	January 12, 2010	Indie Rock	Vampire Weekend - Contra	Vampire Weekend	Contra	0zeAijecFGZOS4OaRdPVz5	2010-2014
45	April 17, 2012	Hip Hop	Future - Pluto	Future	Pluto	1yNIBzlvPVBALSPkUMq1ma	2010-2014
44	March 26, 2012	Synthpop	Chromatics - Kill for Love	Chromatics	Kill for Love	5Rz4NIqwoYGDbIh40UTylV	2010-2014
43	August 8, 2011	Hip Hop	Kanye West & Jay-Z - Watch the Throne	Kanye West & Jay-Z	Watch the Throne	1YwzJz7CrV9fd9Qeb6oo1d	2010-2014
42	April 9, 2013	Folk Rock	Kurt Vile - Wakin on a Pretty Daze	Kurt Vile	Wakin on a Pretty Daze	2imxOfDIDk2voAYCZP88u2	2010-2014
41	September 24, 2013	Hip Hop	Drake - Nothing Was the Same	Drake	Nothing Was the Same	2ZUFSbIkmFkGag000RWOpA	2010-2014
40	December 16, 2013	Dubstep	Burial - Rival Dealer	Burial	Rival Dealer	7Mpnu24WcUfiCw9sGrdp2K	2010-2014
39	June 28, 2011	Pop	Beyoncé - 4	Beyoncé	4	7cvVgT5RXbcUo9Qw4nq31D	2010-2014
38	May 10, 2011	Experimental	EMA - Past Life Martyred Saints	EMA	Past Life Martyred Saints	08OhqUM0MeAuHd9HdryHB4	2010-2014
37	August 15, 2011	Hip Hop	Danny Brown - XXX	Danny Brown	XXX	3j21GO4l4W0w7hdF8JVPmo	2010-2014
36	November 22, 2010	Electropop	Robyn - Body Talk	Robyn	Body Talk	7J4oxoeFQLTrHnjNu2ZaJ5	2010-2014
35	October 22, 2013	Footwork	DJ Rashad - Double Cup	DJ Rashad	Double Cup	4J7qkorMbPmJQy79SntDA8	2010-2014
34	April 21, 2012	Hip Hop	Death Grips - The Money Store	Death Grips	The Money Store	1PQDjdBpHPikAodJqjzm6a	2010-2014
33	August 3, 2010	Indie Rock	Arcade Fire - The Suburbs	Arcade Fire	The Suburbs	4zJBuQXo92Q7QhA5U4V8kw	2010-2014
32	March 8, 2011	Folk Rock	Kurt Vile - Smoke Ring for My Halo	Kurt Vile	Smoke Ring for My Halo	32a7BrNNTAu7BVb6DcsMLP	2010-2014
31	May 21, 2013	Nu-Disco	Daft Punk - Random Access Memories	Daft Punk	Random Access Memories	4m2880jivSbbyEGAKfITCa	2010-2014
30	March 9, 2010	Indie Rock	Titus Andronicus - The Monitor	Titus Andronicus	The Monitor	5U09FQWagzAU5HPmufUAlU	2010-2014
29	June 5, 2012	Garage Rock	Japandroids - Celebration Rock	Japandroids	Celebration Rock	2sY9WYVH022ulyAYaqvXLW	2010-2014
28	February 3, 2013	Shoegaze	My Bloody Valentine - m b v	My Bloody Valentine	m b v		2010-2014
27	June 21, 2011	Indie Folk	Bon Iver - Bon Iver, Bon Iver	Bon Iver	Bon Iver, Bon Iver	0ZMzEAuUIylHgetdWqzcHU	2010-2014
26	June 11, 2013	Blackgaze	Deafheaven - Sunbather	Deafheaven	Sunbather	2kKXGWaCEl06EKZ4DxBJIT	2010-2014
25	April 5, 2011	Singer-Songwriter	Bill Callahan - Apocalypse	Bill Callahan	Apocalypse	4RBHgVw8kR6IpXVnZhZrh0	2010-2014
24	June 3, 2013	Electronic	Disclosure - Settle	Disclosure	Settle	1bEnTsCvG4FPW7NpIEC5Zc	2010-2014
23	September 13, 2011	Art Pop	St. Vincent - Strange Mercy	St. Vincent	Strange Mercy	1Lci4bx7JIuCC8pnBNX7ds	2010-2014
22	October 18, 2011	Dream Pop	M83 - Hurry Up, We're Dreaming	M83	Hurry Up, We're Dreaming	6MBuQugGuX7VMBX0uiBnAQ	2010-2014
21	March 18, 2014	Heartland Rock	The War on Drugs - Lost in the Dream	The War on Drugs	Lost in the Dream	6nD9jfVVX0OadsHJqmjObO	2010-2014
20	June 8, 2010	Psychedelic Pop	Ariel Pink's Haunted Graffiti - Before Today	Ariel Pink's Haunted Graffiti	Before Today	1dO7qBlkQXYENJaHfK7h56	2010-2014
19	May 4, 2010	IDM	Flying Lotus - Cosmogramma	Flying Lotus	Cosmogramma	5c7XChrHxYaqykCZLaGM5f	2010-2014
18	February 23, 2010	Indie Folk	Joanna Newsom - Have One on Me	Joanna Newsom	Have One on Me		2010-2014
17	August 28, 2012	Post-Rock	Swans - The Seer	Swans	The Seer	1ijaW4mgV7Xz7DK5cXyjoo	2010-2014
16	January 25, 2011	Sophisti-Pop 	Destroyer - Kaputt	Destroyer	Kaputt	1clYDgHxfhzxWQJH0ieRpx	2010-2014
15	February 21, 2012	Synthpop	Grimes - Visions	Grimes	Visions	48a7rOjTzpD1zzJAteeveE	2010-2014
14	December 13, 2013	R&B	Beyoncé - Beyoncé	Beyoncé	Beyoncé	2noKUZhXwUhPQMgSr56T4G	2010-2014
13	October 18, 2011	Indie Rock	Real Estate - Days	Real Estate	Days	43uj7422MLR9MRBXSki0El	2010-2014
12	November 15, 2011	Hip Hop	Drake - Take Care	Drake	Take Care	63WdJvk8G9hxJn8u5rswNh	2010-2014
11	May 18, 2010	Dance Punk	LCD Soundsystem - This Is Happening	LCD Soundsystem	This Is Happening	4hnqM0JK4CM1phwfq1Ldyz	2010-2014
10	June 19, 2012	Singer-Songwriter	Fiona Apple - The Idler Wheel	Fiona Apple	The Idler Wheel	7uccppFArLf9dNOwDftOZa	2010-2014
9	February 11, 2014	Singer-Songwriter	Sun Kil Moon - Benji	Sun Kil Moon	Benji	4pC2URLdvle8V6Um4qxh46	2010-2014
8	June 18, 2013	Hip Hop	Kanye West - Yeezus	Kanye West	Yeezus	0XTAmejG8F97wF5MWoVbaY	2010-2014
7	October 9, 2012	Psychedelic Rock	Tame Impala - Lonerism	Tame Impala	Lonerism	76vY9yohh4kVwSKkyKbyEQ	2010-2014
6	May 14, 2013	Indie Rock	Vampire Weekend - Modern Vampires of the City	Vampire Weekend	Modern Vampires of the City	2Qi2SySN2ePZwMLDSv9Krn	2010-2014
5	January 26, 2010	Dream Pop	Beach House - Teen Dream	Beach House	Teen Dream	72mGz9Dnt42euozq8yBULe	2010-2014
4	July 17, 2012	Alternative R&B	Frank Ocean - Channel Orange	Frank Ocean	Channel Orange	623Ef2ZEB3Njklix4PC0Rs	2010-2014
3	September 28, 2010	Indie Rock	Deerhunter - Halcyon Digest	Deerhunter	Halcyon Digest	1HUMjB15ARg96KIypcGzYY	2010-2014
2	October 22, 2012	Hip Hop	Kendrick Lamar - good kid, m.A.A.d. city	Kendrick Lamar	good kid, m.A.A.d. city	1DqhWr73Fh5yoNzKLas0G3	2010-2014
1	November 22, 2010	Hip Hop	Kanye West - My Beautiful Dark Twisted Fantasy	Kanye West	My Beautiful Dark Twisted Fantasy	6LBiuhK7PZKjVXyMfPxPoh	2010-2014
200	April 8, 2014	Hip Hop	Ratking - So It Goes	Ratking	So It Goes	2ScS2EpJi2qDVFAQ2DFBq0	2010-2019
199	June 21, 2011	Lo-Fi	WU LYF - Go Tell Fire to the Mountain	WU LYF	Go Tell Fire to the Mountain	6WSEHis4NH2JfCimtDhClj	2010-2019
198	March 30, 2018	Hip Hop	Jean Grae & Quelle Chris - Everything's Fine	Jean Grae & Quelle Chris	Everything's Fine	22oHrB4SLwayyuLE02t5BD	2010-2019
197	November 18, 2011		Fatima Al Qadiri - Genre-Specific Xperience	Fatima Al Qadiri	Genre-Specific Xperience	15MfIAm3A7U0W1myJaXye2	2010-2019
196	February 19, 2013	Death Metal	Portal - Vexovoid	Portal	Vexovoid		2010-2019
195	May 4, 2015	Hardcore Punk	Downtown Boys - Full Communism	Downtown Boys	Full Communism	2uOinTd9KHYUdQR5r3sDKv	2010-2019
194	March 9, 2010	Indie Rock	Titus Andronicus - The Monitor	Titus Andronicus	The Monitor	5U09FQWagzAU5HPmufUAlU	2010-2019
193	September 25, 2016	Hip Hop	Lil Peep - HellBoy	Lil Peep	HellBoy		2010-2019
192	October 1, 2013	R&B	Kelela - Cut 4 Me	Kelela	Cut 4 Me	0pnKj3DOUFmo0bpQVkyE3Z	2010-2019
191	November 21, 2011	Art Pop	Kate Bush - 50 Words for Snow	Kate Bush	50 Words for Snow	1VAB3Xn92dPKPWzocgQqkh	2010-2019
190	June 10, 2016	Ambient	Huerco S. - For Those Of You Who Have Never (And Also Those Who Have)	Huerco S.	For Those Of You Who Have Never (And Also Those Who Have)	1MATu35vnVRNkhxFH3hMxP	2010-2019
189	November 18, 2016	Country	Miranda Lambert - The Weight of These Wings	Miranda Lambert	The Weight of These Wings	563h536tB6n8Dn62jr4RZG	2010-2019
188	May 25, 2018	Hip Hop	Pusha T - Daytona	Pusha T	Daytona	07bIdDDe3I3hhWpxU6tuBp	2010-2019
187	May 4, 2018	Post-Punk	Iceage - Beyondless	Iceage	Beyondless	5H8wFFblf7YvGc7LbBzuR9	2010-2019
186	March 17, 2017	Ambient	Various Artists - Mono No Aware	Various Artists	Mono No Aware	29oEVx1KwMEjdK0bsT2IZu	2010-2019
185	February 16, 2018	Jazz	Hailu Mergia - Lala Belu	Hailu Mergia	Lala Belu	5daH3Ogui4BqvMrMLaEJ2Q	2010-2019
184	March 2, 2018	Indie Pop	Soccer Mommy - Clean	Soccer Mommy	Clean	36NLDBi2kX7XRHnyLzLOS8	2010-2019
