rank	date	genre	slug	artist	album	spotify	year
47	October 14, 2013	IDM	The Range - Nonfiction	The Range	Nonfiction	1fbBkO7KFv8GcO4Y0l30QI	2013
46	November 5, 2013	Electropop	M.I.A. - Matangi	M.I.A.	Matangi	3dAxXNscIj0p53lBMEziYR	2013
45	July 23, 2013	Electronic	Fuck Buttons - Slow Focus	Fuck Buttons	Slow Focus	2I1PxMR8wj1Y6k88bselsq	2013
44	March 19, 2013	Pop	Justin Timberlake - The 20/20 Experience	Justin Timberlake	The 20/20 Experience	41br7lBSZOr9RjJAjk0om6	2013
43	May 21, 2013	Indie Rock	The National - Trouble Will Find Me	The National	Trouble Will Find Me	2JhR4tjuc3MIKa8v2JaKze	2013
42	March 5, 2013	Soul	Rhye - Woman	Rhye	Woman	6b1HPtDuYioXwmw5xLLFQ9	2013
41	October 25, 2013	Indie Folk	Mutual Benefit - Love's Crushing Diamond	Mutual Benefit	Love's Crushing Diamond	7bdiB9i8o2je2kaPylQ3IF	2013
40	August 18, 2012	Garage Rock	Parquet Courts - Light Up Gold	Parquet Courts	Light Up Gold	2txqIXQU0GCnzg8mTxw1lY	2013
39	January 15, 2013	Hip Hop	A$AP Rocky - Long.Live.A$AP	A$AP Rocky	Long.Live.A$AP	5WHY4T7LcWAJPb1ddChotC	2013
38	June 11, 2013	Electronic	Boards of Canada - Tomorrow's Harvest	Boards of Canada	Tomorrow's Harvest	159ORixBSSemxiualv1Woj	2013
37	June 3, 2013	Microhouse	Jon Hopkins - Immunity	Jon Hopkins	Immunity	3T0f43xzDQQKvQgFTKjPqq	2013
36	September 24, 2013	Synthpop	CHVRCHES - The Bones of What You Believe	CHVRCHES	The Bones of What You Believe	1l9bp6Fz4xkN673dWN5cpy	2013
35	March 19, 2013	Americana	Phosphorescent - Muchacho	Phosphorescent	Muchacho	2he3CA9Gg1XLCsBiMAaXiz	2013
34	August 26, 2013	Experimental	Forest Swords - Engravings	Forest Swords	Engravings	74UnLsuHAp1505hHzwcjPR	2013
33	December 17, 2012	Dubstep	Burial - Truant / Rough Sleeper	Burial	Truant / Rough Sleeper	6kboqwpIVOGW2p5CF3LDE9	2013
32	March 25, 2013	Deep House	DJ Koze - Amygdala	DJ Koze	Amygdala	7vv9qusEblI1f1LcIdYgEc	2013
31	February 26, 2013	R&B	Autre Ne Veut - Anxiety	Autre Ne Veut	Anxiety	6b9Uh2Pp3nc3EJw9pvfsSt	2013
30	May 3, 2013	Indie Rock	Deerhunter - Monomania	Deerhunter	Monomania	68gYjtaIWlvCscoxuCqAiZ	2013
29	April 15, 2013	Drone	The Haxan Cloak - Excavation	The Haxan Cloak	Excavation	16DAUZi7MAWliYIiJvaQyk	2013
28	June 26, 2013	Hip Hop	Run the Jewels - Run the Jewels	Run the Jewels	Run the Jewels	5okrDWqn2b0dX1VBpaZRxQ	2013
27	September 3, 2013	Singer-Songwriter	Neko Case - The Worse Things Get ...	Neko Case	The Worse Things Get ...	3V7aa2rOEqNczucNlTH32c	2013
26	April 8, 2013	Art Pop	James Blake - Overgrown	James Blake	Overgrown	12ExNn0hx85F8UNzoKCyCD	2013
25	September 24, 2013	Hip Hop	Drake - Nothing Was the Same	Drake	Nothing Was the Same	2ZUFSbIkmFkGag000RWOpA	2013
24	October 1, 2013	Electronic	Oneohtrix Point Never - R Plus Seven	Oneohtrix Point Never	R Plus Seven	68PRq4zj7YXMwiUq6FNGvR	2013
23	October 22, 2013	Footwork	DJ Rashad - Double Cup	DJ Rashad	Double Cup	4J7qkorMbPmJQy79SntDA8	2013
22	March 5, 2013	Singer-Songwriter	Waxahatchee - Cerulean Salt	Waxahatchee	Cerulean Salt	4OfohS2lFQOeCXsrNcdh5s	2013
21	November 18, 2013	R&B	Blood Orange - Cupid Deluxe	Blood Orange	Cupid Deluxe	5Pn6Nexd7zbCMkdVGeml0m	2013
20	April 1, 2013	Alternative R&B	Jai Paul - Jai Paul	Jai Paul	Jai Paul		2013
19	August 20, 2013	Hip Hop	Earl Sweatshirt - Doris	Earl Sweatshirt	Doris	5vRfIDOPJHy3W2wHWbzLlE	2013
18	September 10, 2013	R&B	Janelle Monáe - The Electric Lady	Janelle Monáe	The Electric Lady	3bnHtSmmsgJiG82hGCmsq9	2013
17	September 30, 2013	Indie Rock	HAIM - Days Are Gone	HAIM	Days Are Gone	0eXAgjcMHbFt3fS0XXp8Kw	2013
16	September 17, 2013	Singer-Songwriter	Bill Callahan - Dream River	Bill Callahan	Dream River	09o1j1zgl0n8H6EJZXIvRi	2013
15	October 29, 2013	Synthpop	Sky Ferreira - Night Time, My Time	Sky Ferreira	Night Time, My Time	1bvCVYPVl445mO690M2dOr	2013
14	April 8, 2013	Electronic	The Knife - Shaking the Habitual	The Knife	Shaking the Habitual	7eDaaP6J8Q3cYVTGRmARwx	2013
13	April 9, 2013	Folk Rock	Kurt Vile - Wakin on a Pretty Daze	Kurt Vile	Wakin on a Pretty Daze	2imxOfDIDk2voAYCZP88u2	2013
12	April 30, 2013	Hip Hop	Chance The Rapper - Acid Rap	Chance The Rapper	Acid Rap	2VBcztE58pBKjIDS5oEgFh	2013
11	October 8, 2013	Art Pop	Darkside - Psychic	Darkside	Psychic	7jqNrm1l4wSxNYSjgK7tmF	2013
10	October 29, 2013	Indie Rock	Arcade Fire - Reflektor	Arcade Fire	Reflektor	4E0m7AIVc2d2QZMrMNXdMZ	2013
9	May 6, 2013	Post-Punk	Savages - Silence Yourself	Savages	Silence Yourself	0aMC5DDAF86GvYNPaivEKd	2013
8	May 21, 2013	Ambient Pop	Majical Cloudz - Impersonator	Majical Cloudz	Impersonator	70EudAo73w9QvcF2u5K18E	2013
7	May 21, 2013	Nu-Disco	Daft Punk - Random Access Memories	Daft Punk	Random Access Memories	4m2880jivSbbyEGAKfITCa	2013
6	June 11, 2013	Blackgaze	Deafheaven - Sunbather	Deafheaven	Sunbather	2kKXGWaCEl06EKZ4DxBJIT	2013
5	October 8, 2013	Hip Hop	Danny Brown - OLD	Danny Brown	OLD	5SC0415RIGVX9ZfL0tfbAl	2013
4	February 3, 2013	Shoegaze	My Bloody Valentine - m b v	My Bloody Valentine	m b v		2013
3	June 3, 2013	Electronic	Disclosure - Settle	Disclosure	Settle	1bEnTsCvG4FPW7NpIEC5Zc	2013
2	June 18, 2013	Hip Hop	Kanye West - Yeezus	Kanye West	Yeezus	0XTAmejG8F97wF5MWoVbaY	2013
1	May 14, 2013	Indie Rock	Vampire Weekend - Modern Vampires of the City	Vampire Weekend	Modern Vampires of the City	2Qi2SySN2ePZwMLDSv9Krn	2013
50	May 26, 2014	Dark Ambient	Ben Frost - A U R O R A	Ben Frost	A U R O R A	2hVGkLbETH03giJCwRfjaN	2014
49	September 23, 2014	Dream Pop	Mr Twin Sister - Mr Twin Sister	Mr Twin Sister	Mr Twin Sister	6r34aMIPIjbKLtWcbdyseT	2014
48	November 3, 2014	IDM	Clark - Clark	Clark	Clark	13944rqffz0QLBUe04vY0r	2014
47	September 16, 2014	Noise Rock	Shellac - Dude Incredible	Shellac	Dude Incredible	2ESIcPobinuSSEwX8kzhY0	2014
46	August 25, 2014	R&B	Ariana Grande - My Everything	Ariana Grande	My Everything	41zTgMSJC9mF6NyBkXXxZr	2014
45	November 18, 2014	Electronic	Andy Stott - Faith in Strangers	Andy Stott	Faith in Strangers	1BzMONuUlgUnqOrg2aQeAY	2014
44	June 24, 2014	Shoegaze	A Sunny Day in Glasgow - Sea When Absent	A Sunny Day in Glasgow	Sea When Absent	4rkH6ty2BmobpmERezgUBF	2014
43	March 18, 2014	Hip Hop	Freddie Gibbs & Madlib - Piñata	Freddie Gibbs & Madlib	Piñata	43uErencdmuTRFZPG3zXL1	2014
42	May 27, 2014	Chamber Pop	Owen Pallett - In Conflict	Owen Pallett	In Conflict	6qkTG87rvoVj6RqzHHymbi	2014
41	March 17, 2014	Deep House	Leon Vynehall - Music for the Uninvited	Leon Vynehall	Music for the Uninvited	3Eq4qTWygAzH186V3q5D8z	2014
40	August 26, 2014	Garage Rock	Ty Segall - Manipulator	Ty Segall	Manipulator	0aXcmVjzU9v63FhFcjgLxp	2014
39	April 29, 2014	Post-Punk	Ought - More Than Any Other Day	Ought	More Than Any Other Day	6Y1StvNpDomvTkBgtgHIlU	2014
38	May 27, 2014	Art Pop	Hundred Waters - The Moon Rang Like A Bell	Hundred Waters	The Moon Rang Like A Bell	051I8OUCXMiEnua64QQKy3	2014
37	March 18, 2014	Noise Rock	Perfect Pussy - Say Yes to Love	Perfect Pussy	Say Yes to Love	0vAWlFqwQXVhsW7SR3rXv1	2014
36	October 7, 2014	Alternative R&B	Tinashe - Aquarius	Tinashe	Aquarius	6zXUDBGLbrB9Kgkw2Y3F7L	2014
35	July 29, 2014	Hip Hop	Shabazz Palaces - Lese Majesty	Shabazz Palaces	Lese Majesty	76w2I0nUWKdsDe9gubdpW5	2014
34	April 1, 2014	Indie Rock	Cloud Nothings - Here and Nowhere Else	Cloud Nothings	Here and Nowhere Else	0hLNDK6qqmScdwxU7kvnXn	2014
33	September 29, 2014	Hip Hop	Rich Gang - Tha Tour Part 1	Rich Gang	Tha Tour Part 1		2014
32	June 17, 2014	Noise Rock	White Lung - Deep Fantasy	White Lung	Deep Fantasy	7lsoGmTZp7mUBoAALe611f	2014
31	October 27, 2014	Pop	Taylor Swift - 1989	Taylor Swift	1989	2QJmrSgbdM35R67eoGQo4j	2014
30	October 7, 2014	Post-Punk	Iceage - Plowing Into the Field of Love	Iceage	Plowing Into the Field of Love	2zFpmXJsyl4HnMY1hZcfIe	2014
29	June 24, 2014	Alternative R&B	How to Dress Well - What Is This Heart?	How to Dress Well	What Is This Heart?	70o7vRADMOz75vzHBla3Z0	2014
28	October 14, 2014	Death Industrial	Pharmakon - Bestial Burden	Pharmakon	Bestial Burden	3HOtmw25fWCfpvAlxl9H8p	2014
27	March 18, 2014	Hip Hop	YG - My Krazy Life	YG	My Krazy Life	6cW84YyjHToN3qqBwKDKQX	2014
26	October 7, 2014	Indie Rock	Ex Hex - Rips	Ex Hex	Rips	6AiSmBuuVUi2xCIVJsXcQb	2014
25	November 6, 2014	Hip Hop	Azealia Banks - Broke With Expensive Taste	Azealia Banks	Broke With Expensive Taste	399M7b1n6aSepgtWTRi3za	2014
24	June 3, 2014	Garage Rock	Parquet Courts - Sunbathing Animal	Parquet Courts	Sunbathing Animal	3ngz9FbWGxHscqvwoGOL0u	2014
23	May 5, 2014	Indie Pop	Lykke Li - I Never Learn	Lykke Li	I Never Learn	4fGqfyineAZmulNxgitERh	2014
22	March 25, 2014	Synthpop	Future Islands - Singles	Future Islands	Singles	1dKh4z5Aayt8FFDWjO5FDh	2014
21	June 30, 2014	Art Rock	Eno • Hyde - High Life	Eno • Hyde	High Life		2014
20	October 7, 2014	Hip Hop	Vince Staples - Hell Can Wait	Vince Staples	Hell Can Wait	7mxpMxmMM8RN39YRlo08v7	2014
19	May 27, 2014	Singer-Songwriter	Sharon Van Etten - Are We There	Sharon Van Etten	Are We There	69EhwEgjEWQ8GqH7wqEndn	2014
18	November 4, 2014	Electronic	Arca - Xen	Arca	Xen	5FLsmazQWaDK9JGqdzHlN4	2014
17	October 7, 2014	Electronic	Flying Lotus - You're Dead!	Flying Lotus	You're Dead!	29luvT98TnqHjVDYSRbbrj	2014
16	February 25, 2014	Art Pop	St. Vincent - St. Vincent	St. Vincent	St. Vincent	2CJnMhwEEkS8R1ctgt5llf	2014
15	February 18, 2014	Singer-Songwriter	Angel Olsen - Burn Your Fire for No Witness	Angel Olsen	Burn Your Fire for No Witness	0xvDtkNKJiLclVbjLvovFU	2014
14	March 4, 2014	Indie Rock	Real Estate - Atlas	Real Estate	Atlas	50idJkY6FhqUesGnGHn7wB	2014
13	August 5, 2014	Indie Rock	Spoon - They Want My Soul	Spoon	They Want My Soul	5LOVEXnGFLMChzdUNRWRpB	2014
12	April 1, 2014	Singer-Songwriter	Mac DeMarco - Salad Days	Mac DeMarco	Salad Days	7xPhDaYZ2ejV04aNtdBdvj	2014
11	September 23, 2014	Art Pop	Perfume Genius - Too Bright	Perfume Genius	Too Bright	5qtHbJAK0C1IkacqJBqsa2	2014
10	October 7, 2014	Electronic	Caribou - Our Love	Caribou	Our Love	233jGebCTUPAYF5MxvLB7A	2014
9	November 18, 2014	Psychedelic Pop	Ariel Pink - pom pom	Ariel Pink	pom pom	4UhaqAS8V23KozB3dzLMax	2014
8	April 8, 2014	Nu-Disco	Todd Terje - It's Album Time	Todd Terje	It's Album Time	4pefQ21iSk8hdnxw3WSB5Y	2014
7	February 11, 2014	Singer-Songwriter	Sun Kil Moon - Benji	Sun Kil Moon	Benji	4pC2URLdvle8V6Um4qxh46	2014
6	May 13, 2014	Experimental Rock	Swans - To Be Kind	Swans	To Be Kind	1Nt5SpidxOjgIpTrhrfwAF	2014
5	October 31, 2014	Ambient	Grouper - Ruins	Grouper	Ruins	5ElYoVUqRQIlDekD1v6aKa	2014
4	September 23, 2014	IDM	Aphex Twin - Syro	Aphex Twin	Syro	6oRuinkJdTge4hpTuClEF8	2014
3	March 18, 2014	Heartland Rock	The War on Drugs - Lost in the Dream	The War on Drugs	Lost in the Dream	6nD9jfVVX0OadsHJqmjObO	2014
2	August 12, 2014	Alternative R&B	FKA twigs - LP1	FKA twigs	LP1	7mpQVIMZ2iNnAfqodqvdhz	2014
1	October 28, 2014	Hip Hop	Run the Jewels - Run the Jewels 2	Run the Jewels	Run the Jewels 2	2lPYlP4eumsjz6LBG8GCbG	2014
50	January 15, 2015	Alternative R&B	DAWN - Blackheart	DAWN	Blackheart	2IPKoEWJgWuM83zZOq3vkW	2015
49	January 27, 2015	Chamber Pop	Natalie Prass - Natalie Prass	Natalie Prass	Natalie Prass	1rRFEJvwq1Bdutw6q3Nz9e	2015
48	May 19, 2015	Electropop	Shamir - Ratchet	Shamir	Ratchet	7vX1WKSgkpG4jwOiaXDVT6	2015
47	June 15, 2015	Downtempo	DJ Koze - DJ-Kicks	DJ Koze	DJ-Kicks	4Ds2jfLg7gdR590E7gCIZp	2015
46	March 17, 2015	Singer-Songwriter	Tobias Jesso Jr. - Goon	Tobias Jesso Jr.	Goon	7elNFxdWSjWvtUP1gqyQGV	2015
45	May 19, 2015	Chamber Pop	Jim O'Rourke - Simple Songs	Jim O'Rourke	Simple Songs		2015
44	January 13, 2015	R&B	Jazmine Sullivan - Reality Show	Jazmine Sullivan	Reality Show	682dnvSPZ6lwCNodfMVcbh	2015
43	August 28, 2015	Chamber Pop	Destroyer - Poison Season	Destroyer	Poison Season	0X32RgsNanozjRrRd2DRLK	2015
42	June 9, 2015	Art Pop	Jenny Hval - Apocalypse, girl	Jenny Hval	Apocalypse, girl	3AeAZfwBgnhmbNEowNFvcB	2015
41	December 4, 2015	R&B	Jeremih - Late Nights: The Album	Jeremih	Late Nights: The Album	4p9QlliNvKndyKSPyuJlP8	2015
40	March 24, 2015	Footwork	Jlin - Dark Energy	Jlin	Dark Energy	2yHEmN9QGuFbFpWt21BJtd	2015
39	May 19, 2015	Art Pop	Holly Herndon - Platform	Holly Herndon	Platform	1x1agDGl1Y7npXRF7u3prS	2015
38	November 20, 2015	Electronic	Arca - Mutant	Arca	Mutant	5JJEl39js1CIZvzrAnX4kw	2015
37	September 11, 2015	Electropop	Empress Of - Me	Empress Of	Me	6Gr9l3W2dr8YZ1SzJwRRKE	2015
36	October 2, 2015	R&B	Janet Jackson - Unbreakable	Janet Jackson	Unbreakable	1zAcFjwYpvXq0GFm0vRDEa	2015
35	October 16, 2015	Chillwave	Neon Indian - VEGA INTL. Night School	Neon Indian	VEGA INTL. Night School	5jgrzAcDHJ5Nb2viW52OlR	2015
34	August 21, 2015	Dance Pop	Carly Rae Jepsen - E•MO•TION	Carly Rae Jepsen	E•MO•TION	49iTBKGf47W1CJMQ8W2jHB	2015
33	December 10, 2015	Hip Hop	Archy Marshall - A New Place 2 Drown	Archy Marshall	A New Place 2 Drown	56tUDDTfqaHqvcIyUfbuI0	2015
32	August 7, 2015	Hip Hop	Dr. Dre - Compton: A Soundtrack by Dr. Dre	Dr. Dre	Compton: A Soundtrack by Dr. Dre		2015
31	October 9, 2015	Alternative R&B	Kelela - Hallucinogen	Kelela	Hallucinogen	5vI1UvJLIPAKf1kvzgPaTO	2015
30	October 16, 2015	Indie Rock	Deerhunter - Fading Frontier	Deerhunter	Fading Frontier	0y5XgOUEiJSSIMxC4ALRAC	2015
29	January 6, 2015	Hip Hop	Rae Sremmurd - SremmLife	Rae Sremmurd	SremmLife	4ZmCBqmAmzZaw6AKnlXqQI	2015
28	August 28, 2015	Dream Pop	Beach House - Depression Cherry	Beach House	Depression Cherry	2dOMRQFWGtFnBVBaqMUjel	2015
27	January 20, 2015	Indie Rock	Sleater-Kinney - No Cities to Love	Sleater-Kinney	No Cities to Love	1l7gMbzE7RRAdYddJSfM5B	2015
26	October 2, 2015	Atmospheric Black Metal	Deafheaven - New Bermuda	Deafheaven	New Bermuda	2e4xOasRFhJn4x2MBM5pdu	2015
25	March 23, 2015	Hip Hop	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	Earl Sweatshirt	I Don't Like Shit, I Don't Go Outside	3wUv2IjD5hPrqlPakpczQa	2015
24	June 22, 2015	Neo-Soul	Thundercat - The Beyond / Where the Giants Roam	Thundercat	The Beyond / Where the Giants Roam	7vgnnPWflv8g0vQYOberLn	2015
23	September 25, 2015	Singer-Songwriter	Kurt Vile - b'lieve i'm goin down	Kurt Vile	b'lieve i'm goin down	2uRTsStAmo7Z2UwCIvuwMv	2015
22	January 13, 2015	Psychedelic Pop	Panda Bear - Panda Bear Meets the Grim Reaper	Panda Bear	Panda Bear Meets the Grim Reaper	6bHsJXJoEdQTw3tUpHV8iB	2015
21	May 29, 2015	Neo-Soul	Donnie Trumpet & The Social Experiment - Surf	Donnie Trumpet & The Social Experiment	Surf	3eM1KTKmpqrQOvuvYY42cr	2015
20	November 6, 2015	Electronic	Floating Points - Elaenia	Floating Points	Elaenia	0SDLAAGQmK8DWxkX0s9OGE	2015
19	July 17, 2015	Hip Hop	Future - DS2	Future	DS2	0fUy6IdLHDpGNwavIlhEsl	2015
18	September 25, 2015	Art Pop	Julia Holter - Have You in My Wilderness	Julia Holter	Have You in My Wilderness	1kVTV6AoeMjAOMOJyVfYOl	2015
17	February 12, 2015	Hip Hop	Drake - If You're Reading This It's Too Late	Drake	If You're Reading This It's Too Late	6K77I7FVTV0pxUfQikCbxj	2015
16	August 13, 2015	Art Pop	FKA twigs - M3LL155X	FKA twigs	M3LL155X	7rSESybi14vAuEVzkipODD	2015
15	January 20, 2015	Art Pop	Björk - Vulnicura	Björk	Vulnicura	1ttnHZ0HVGMSMTJdZZ7kYK	2015
14	April 16, 2015	Hip Hop	Young Thug - Barter 6	Young Thug	Barter 6	0BsMZIueWsJLWng8A7sE8e	2015
13	October 23, 2015	Singer-Songwriter	Joanna Newsom - Divers	Joanna Newsom	Divers		2015
12	February 10, 2015	Singer-Songwriter	Father John Misty - I Love You, Honeybear	Father John Misty	I Love You, Honeybear	7buEcyw6fJF3WPgr06BomH	2015
11	November 13, 2015	Electronic	Oneohtrix Point Never - Garden of Delete	Oneohtrix Point Never	Garden of Delete	4l4tgdU69cbukMzliC4xI6	2015
10	May 5, 2015	Jazz Fusion	Kamasi Washington - The Epic	Kamasi Washington	The Epic	1jTw1oalZ4vF8jmpmILCdh	2015
9	March 24, 2015	Indie Rock	Courtney Barnett - Sometimes I Sit and Think, and Sometimes I Just Sit	Courtney Barnett	Sometimes I Sit and Think, and Sometimes I Just Sit	5FpTrIArvT20xUSpGRXGLY	2015
8	June 30, 2015	Alternative R&B	Miguel - Wildheart	Miguel	Wildheart	6W8ZsoinSMViZMh9aYK7gQ	2015
7	December 15, 2014	Neo-Soul	D'Angelo - Black Messiah	D'Angelo	Black Messiah	5Hfbag0SsHxafx1SySFSX6	2015
6	March 31, 2015	Indie Folk	Sufjan Stevens - Carrie & Lowell	Sufjan Stevens	Carrie & Lowell	0U8DeqqKDgIhIiWOdqiQXE	2015
5	July 17, 2015	Psychedelic Pop	Tame Impala - Currents	Tame Impala	Currents	0rxKf57PZvWEoU8v3m5W2q	2015
4	June 30, 2015	Hip Hop	Vince Staples - Summertime '06	Vince Staples	Summertime '06	59olnuVrXXgrDH4wknpDLC	2015
3	November 6, 2015	Art Pop	Grimes - Art Angels	Grimes	Art Angels	5hB4jVN4ZHpubyiMmW81K1	2015
2	June 1, 2015	UK Bass	Jamie xx - In Colour	Jamie xx	In Colour	5jBKTppNIUpcrNKbr8jbsQ	2015
1	March 16, 2015	Hip Hop	Kendrick Lamar - To Pimp a Butterfly	Kendrick Lamar	To Pimp a Butterfly	7ycBtnsMtyVbbwTfJwRjSP	2015
50	July 14, 2016	Hip Hop	21 Savage & Metro Boomin - Savage Mode	21 Savage & Metro Boomin	Savage Mode	4I3EcXD4e3KcEoDJfFEZ5b	2016
49	February 5, 2016	Synthpop	Porches - Pool	Porches	Pool	7kNB1l6WPFlZxH5MtgtW3j	2016
48	April 1, 2016	Indie Pop	Frankie Cosmos - Next Thing	Frankie Cosmos	Next Thing	7mTf6AXzDt1q7Iy4Vig1U5	2016
47	March 14, 2016	Hip Hop	Kamaiyah - A Good Night in the Ghetto	Kamaiyah	A Good Night in the Ghetto		2016
46	February 12, 2016	Indie Rock	Pinegrove - Cardinal	Pinegrove	Cardinal	2SmrUzUMMOYQqoPuOhlhjw	2016
45	June 3, 2016	Folk	William Tyler - Modern Country	William Tyler	Modern Country	0AlKGJjZriUhapXB3hyW6h	2016
44	January 29, 2016	Hip Hop	Kevin Gates - Islah	Kevin Gates	Islah	5Hs43ta4vAYKRRRR7DKjt9	2016
43	October 21, 2016	Psychedelic Folk	Weyes Blood - Front Row Seat to Earth	Weyes Blood	Front Row Seat to Earth	5priHeMXIoEdSy731w0Zfe	2016
42	August 25, 2016	Hip Hop	Vince Staples - Prima Donna	Vince Staples	Prima Donna	2haR5qnQopCdVASZ92YTGn	2016
41	June 10, 2016	Ambient	Huerco S. - For Those Of You Who Have Never (And Also Those Who Have)	Huerco S.	For Those Of You Who Have Never (And Also Those Who Have)	1MATu35vnVRNkhxFH3hMxP	2016
40	March 11, 2016	Avant-Garde Jazz	Vijay Iyer & Wadada Leo Smith - A Cosmic Rhythm with Each Stroke	Vijay Iyer & Wadada Leo Smith	A Cosmic Rhythm with Each Stroke		2016
39	February 19, 2016	Deep House	Moodymann - DJ-Kicks	Moodymann	DJ-Kicks	26ko9KvGa0mKqByhi74nsn	2016
38	July 8, 2016	Hip Hop	Schoolboy Q - Blank Face LP	Schoolboy Q	Blank Face LP	0YbpATCIng8Fz2JrfHmEf7	2016
37	February 5, 2016	R&B	King - We Are King	King	We Are King	3FYKiMNG19UUdbs8xhpZc7	2016
36	July 7, 2016	Alternative R&B	Jamila Woods - HEAVN	Jamila Woods	HEAVN	2ha1TUv0o6VnQddOci7GIb	2016
35	September 23, 2016	Indie Rock	Hamilton Leithauser + Rostam - I Had A Dream That You Were Mine	Hamilton Leithauser + Rostam	I Had A Dream That You Were Mine	2TDuXjtpO4tdvm86KVNMk0	2016
34	April 15, 2016	Folk Rock	Kevin Morby - Singing Saw	Kevin Morby	Singing Saw	1s8RmcZjTuvDt9eQ4MAKLI	2016
33	July 1, 2016	Neo-Soul	Maxwell - blackSUMMERS'night	Maxwell	blackSUMMERS'night	6pjoIUNpMtQaSJvRUmsnSh	2016
32	October 3, 2015	MPB	Elza Soares - A Mulher do Fim do Mundo	Elza Soares	A Mulher do Fim do Mundo	0YwlYu2ecOk0HgjZL7L6s0	2016
31	June 3, 2016	Indie Rock	Whitney - Light Upon The Lake	Whitney	Light Upon The Lake	5yMCA6HdFAeL1aqUjxO3MO	2016
30	March 4, 2016	Jazz Fusion	Esperanza Spalding - Emily's D+Evolution	Esperanza Spalding	Emily's D+Evolution	4IHHAv4Bu45x64Lf2ezRrT	2016
29	April 1, 2016	Folktronica	Kaitlyn Aurelia Smith - EARS	Kaitlyn Aurelia Smith	EARS	5T9rGi62i1O7wRu3c2f3q4	2016
28	October 21, 2016	Neo-Soul	NxWorries - Yes Lawd!	NxWorries	Yes Lawd!	7v4ntSy3suhIs5Vy96GXVZ	2016
27	July 31, 2016	Hip Hop	Noname - Telefone	Noname	Telefone	18Scpsg5OV1iYNtSaCsjwz	2016
