group,t1,t2,winner,date,time
A,G2,CLG,2,date= 2016-09-29,16:30
A,ROX,ANX,1,date= 2016-09-29,17:30
C,H2K,AHQ,2,date= 2016-09-29,18:30
C,INT,EDG,1,date= 2016-09-29,19:30
D,SSG,SPY,1,date= 2016-09-29,20:30
D,TSM,RNG,2,date= 2016-09-29,21:30
B,SKT,C9,1,date= 2016-09-30,16:00
B,FW,IM,2,date= 2016-09-30,17:00
D,TSM,SSG,1,date= 2016-09-30,18:00
D,RNG,SPY,1,date= 2016-09-30,19:00
C,H2K,INT,1,date= 2016-09-30,20:00
C,EDG,AHQ,1,date= 2016-09-30,21:00
A,CLG,ANX,2,date= 2016-10-01,16:00
A,ROX,G2,1,date= 2016-10-01,17:00
B,FW,C9,2,date= 2016-10-01,18:00
B,IM,SKT,2,date= 2016-10-01,19:00
D,SPY,TSM,2,date= 2016-10-01,20:00
D,RNG,SSG,2,date= 2016-10-01,21:00
C,AHQ,INT,1,date= 2016-10-02,16:00
C,EDG,H2K,1,date= 2016-10-02,17:00
A,ANX,G2,1,date= 2016-10-02,18:00
A,CLG,ROX,1,date= 2016-10-02,19:00
B,SKT,FW,2,date= 2016-10-02,20:00
B,C9,IM,1,date= 2016-10-02,21:00
A,G2,ROX,2,date= 2016-10-06,16:00
A,ANX,CLG,1,date= 2016-10-06,17:00
A,CLG,G2,1,date= 2016-10-06,18:00
A,ANX,ROX,,date= 2016-10-06,19:00
A,G2,ANX,,date= 2016-10-06,20:00
A,ROX,CLG,,date= 2016-10-06,21:00
C,EDG,INT,,date= 2016-10-07,16:00
C,AHQ,H2K,,date= 2016-10-07,17:00
C,H2K,EDG,,date= 2016-10-07,18:00
C,INT,AHQ,,date= 2016-10-07,19:00
C,INT,H2K,,date= 2016-10-07,20:00
C,AHQ,EDG,,date= 2016-10-07,21:00
D,SSG,TSM,,date= 2016-10-08,13:00
D,SPY,RNG,,date= 2016-10-08,14:00
D,TSM,SPY,,date= 2016-10-08,15:00
D,SSG,RNG,,date= 2016-10-08,16:00
D,SPY,SSG,,date= 2016-10-08,17:00
D,RNG,TSM,,date= 2016-10-08,18:00
B,IM,FW,,date= 2016-10-09,13:00
B,C9,SKT,,date= 2016-10-09,14:00
B,C9,FW,,date= 2016-10-09,15:00
B,SKT,IM,,date= 2016-10-09,16:00
B,IM,C9,,date= 2016-10-09,17:00
B,FW,SKT,,date= 2016-10-09,18:00